region,country,iso3,continent
Jamaica,Jamaica,JAM,America
Japan,Japan,JPN,Asia
Jersey,Jersey,JEY,Europe
Jordan,Jordan,JOR,Asia
KS,United States,USA,America
KY,United States,USA,America
KYRGYZSTAN,Kyrgyz Republic,KGZ,Asia
Kansas,United States,USA,America
Kazakhstan,Kazakhstan,KAZ,Asia
Kentucky,United States,USA,America
Kenya,Kenya,KEN,Africa
Kiribati,Kiribati,KIR,Oceania
Kosovo,Kosovo,XKX,Europe
Kuwait,Kuwait,KWT,Asia
Kyrgyz Republic,Kyrgyz Republic,KGZ,Asia
LA,United States,USA,America
Laos,Laos,LAO,Asia
Latvia,Latvia,LVA,Europe
Lebanon,Lebanon,LBN,Asia
Lesotho,Lesotho,LSO,Africa
Liberia,Liberia,LBR,Africa
Libya,Libya,LBY,Africa
Liechtenstein,Liechtenstein,LIE,Europe
Lithuania,Lithuania,LTU,Europe
Louisiana,United States,USA,America
Luxembourg,Luxembourg,LUX,Europe
MA,United States,USA,America
MD,United States,USA,America
ME,United States,USA,America
MI,United States,USA,America
MN,United States,USA,America
MO,United States,USA,America
MP,United States,USA,America
MS,United States,USA,America
MT,United States,USA,America
MYANMAR (BURMA),Myanmar,MMR,Asia
Macau,Macau,MAC,Asia
Madagascar,Madagascar,MDG,Africa
Maine,United States,USA,America
Malawi,Malawi,MWI,Africa
Malaysia,Malaysia,MYS,Asia
Maldives,Maldives,MDV,Asia
Mali,Mali,MLI,Africa
Malta,Malta,MLT,Europe
Marshall Islands,Marshall Islands,MHL,Oceania
Martinique,Martinique,MTQ,America
Maryland,United States,USA,America
Massachusetts,United States,USA,America
Mauritania,Mauritania,MRT,Africa
Mauritius,Mauritius,MUS,Africa
Mayotte,Mayotte,MYT,Africa
Mexico,Mexico,MEX,America
Michigan,United States,USA,America
Micronesia,"Micronesia, Fed. Sts.",FSM,Oceania
"Micronesia, Fed. Sts.","Micronesia, Fed. Sts.",FSM,Oceania
Minnesota,United States,USA,America
Mississippi,United States,USA,America
Missouri,United States,USA,America
Moldova,Moldova,MDA,Europe
Monaco,Monaco,MCO,Europe
Mongolia,Mongolia,MNG,Asia
Montana,United States,USA,America
Montenegro,Montenegro,MNE,Europe
Montserrat,Montserrat,MSR,America
Morocco,Morocco,MAR,Africa
Mozambique,Mozambique,MOZ,Africa
Myanmar,Myanmar,MMR,Asia
NC,United States,USA,America
ND,United States,USA,America
NE,United States,USA,America
NH,United States,USA,America
NJ,United States,USA,America
NM,United States,USA,America
NV,United States,USA,America
NY,United States,USA,America
Namibia,Namibia,NAM,Africa
Nauru,Nauru,NRU,Oceania
Nebraska,United States,USA,America
Nepal,Nepal,NPL,Asia
Netherlands,Netherlands,NLD,Europe
Nevada,United States,USA,America
New Caledonia,New Caledonia,NCL,Oceania
New Hampshire,United States,USA,America
New Jersey,United States,USA,America
New Mexico,United States,USA,America
New York,United States,USA,America
New Zealand,New Zealand,NZL,Oceania
Nicaragua,Nicaragua,NIC,America
Niger,Niger,NER,Africa
Nigeria,Nigeria,NGA,Africa
Niue,Niue,NIU,Oceania
Norfolk Island,Norfolk Island,NFK,Oceania
North Carolina,United States,USA,America
North Dakota,United States,USA,America
North Korea,North Korea,PRK,Asia
North Macedonia,North Macedonia,MKD,Europe
Northern Mariana Islands,United States,USA,America
Norway,Norway,NOR,Europe
OH,United States,USA,America
OK,United States,USA,America
OR,United States,USA,America
Ohio,United States,USA,America
Oklahoma,United States,USA,America
Oman,Oman,OMN,Asia
Oregon,United States,USA,America
PA,United States,USA,America
PR,United States,USA,America
Pakistan,Pakistan,PAK,Asia
Palau,Palau,PLW,Oceania
Palestine,Palestine,PSE,Asia
Panama,Panama,PAN,America
Papua New Guinea,Papua New Guinea,PNG,Oceania
Paraguay,Paraguay,PRY,America
Pennsylvania,United States,USA,America
Peru,Peru,PER,America
Philippines,Philippines,PHL,Asia
Pitcairn,Pitcairn,PCN,Oceania
Poland,Poland,POL,Europe
Portugal,Portugal,PRT,Europe
Puerto Rico,United States,USA,America
Qatar,Qatar,QAT,Asia
RI,United States,USA,America
Reunion,Reunion,REU,Africa
Rhode Island,United States,USA,America
Romania,Romania,ROU,Europe
Russia,Russia,RUS,Europe
Rwanda,Rwanda,RWA,Africa
SC,United States,USA,America
SD,United States,USA,America
Saint-Martin,Saint-Martin,MAF,America
Samoa,Samoa,WSM,Oceania
San Marino,San Marino,SMR,Europe
Sao Tome and Principe,Sao Tome and Principe,STP,Africa
Saudi Arabia,Saudi Arabia,SAU,Asia
Senegal,Senegal,SEN,Africa
Serbia,Serbia,SRB,Europe
Seychelles,Seychelles,SYC,Africa
Sierra Leone,Sierra Leone,SLE,Africa
Singapore,Singapore,SGP,Asia
Sint Maarten,Sint Maarten,SXM,America
Slovakia,Slovakia,SVK,Europe
Slovenia,Slovenia,SVN,Europe
Solomon Islands,Solomon Islands,SLB,Oceania
Somalia,Somalia,SOM,Africa
South Africa,South Africa,ZAF,Africa
South Carolina,United States,USA,America
South Dakota,United States,USA,America
South Georgia and South Sandwich Is.,South Georgia and South Sandwich Is.,SGS,Antarctica
South Korea,South Korea,KOR,Asia
South Sudan,South Sudan,SSD,Africa
Spain,Spain,ESP,Europe
Sri Lanka,Sri Lanka,LKA,Asia
St. Barths,St. Barths,BLM,America
St. Helena,St. Helena,SHN,Africa
St. Kitts and Nevis,St. Kitts and Nevis,KNA,America
St. Lucia,St. Lucia,LCA,America
St. Pierre and Miquelon,St. Pierre and Miquelon,SPM,America
St. Vincent and the Grenadines,St. Vincent and the Grenadines,VCT,America
Sudan,Sudan,SDN,Africa
Suriname,Suriname,SUR,America
Svalbard and Jan Mayen Islands,Svalbard and Jan Mayen Islands,SJM,Europe
Sweden,Sweden,SWE,Europe
Switzerland,Switzerland,CHE,Europe
Syria,Syria,SYR,Asia
TN,United States,USA,America
TX,United States,USA,America
Taiwan,Taiwan,TWN,Asia
Tajikistan,Tajikistan,TJK,Asia
Tanzania,Tanzania,TZA,Africa
Tennessee,United States,USA,America
Texas,United States,USA,America
Thailand,Thailand,THA,Asia
Timor-Leste,Timor-Leste,TLS,Asia
Togo,Togo,TGO,Africa
Tokelau,Tokelau,TKL,Oceania
Tonga,Tonga,TON,Oceania
Trinidad and Tobago,Trinidad and Tobago,TTO,America
Tunisia,Tunisia,TUN,Africa
Turkey,Türkiye,TUR,Asia
Turkmenistan,Turkmenistan,TKM,Asia
Turks and Caicos Islands,Turks and Caicos Islands,TCA,America
Tuvalu,Tuvalu,TUV,Oceania
Türkiye,Türkiye,TUR,Asia
UK,United Kingdom,GBR,Europe
UM,United States,USA,America
USA,United States,USA,America
UT,United States,USA,America
Uganda,Uganda,UGA,Africa
Ukraine,Ukraine,UKR,Europe
United Arab Emirates,United Arab Emirates,ARE,Asia
United Kingdom,United Kingdom,GBR,Europe
United States,United States,USA,America
United States Minor Outlying Islands,United States,USA,America
United States Virgin Islands,United States Virgin Islands,VIR,America
Uruguay,Uruguay,URY,America
Utah,United States,USA,America
Uzbekistan,Uzbekistan,UZB,Asia
VA,United States,USA,America
VI,United States,USA,America
VT,United States,USA,America
Vanuatu,Vanuatu,VUT,Oceania
Vatican,Vatican,VAT,Europe
Venezuela,Venezuela,VEN,America
Vermont,United States,USA,America
Vietnam,Vietnam,VNM,Asia
"Virgin Islands, U.S.",United States,USA,America
Virginia,United States,USA,America
WA,United States,USA,America
WI,United States,USA,America
WV,United States,USA,America
WY,United States,USA,America
Wallis and Futuna,Wallis and Futuna Islands,WLF,Oceania
Wallis and Futuna Islands,Wallis and Futuna Islands,WLF,Oceania
Washington,United States,USA,America
West Virginia,United States,USA,America
Western Sahara,Western Sahara,ESH,Africa
Wisconsin,United States,USA,America
Wyoming,United States,USA,America
Yemen,Yemen,YEM,Asia
Zambia,Zambia,ZMB,Africa
Zimbabwe,Zimbabwe,ZWE,Africa
